session_id,year,event_name,category,flag,scope,messages,missing_session_time,lap_scoped,driver_scoped
2025-singapore-grand-prix-r,2025,Singapore Grand Prix,Flag,BLUE,Driver,53,0,53,53
2025-singapore-grand-prix-r,2025,Singapore Grand Prix,Other,missing,missing,49,10,49,0
2025-singapore-grand-prix-r,2025,Singapore Grand Prix,Flag,CLEAR,Sector,5,3,5,0
2025-singapore-grand-prix-r,2025,Singapore Grand Prix,Flag,DOUBLE YELLOW,Sector,4,3,4,0
2025-singapore-grand-prix-r,2025,Singapore Grand Prix,Flag,BLACK AND WHITE,Driver,2,0,2,2
2025-singapore-grand-prix-r,2025,Singapore Grand Prix,Flag,GREEN,Track,2,1,2,0
2025-singapore-grand-prix-r,2025,Singapore Grand Prix,Drs,missing,missing,2,1,2,0
2025-singapore-grand-prix-r,2025,Singapore Grand Prix,Flag,YELLOW,Sector,1,0,1,0
2025-singapore-grand-prix-r,2025,Singapore Grand Prix,Flag,CHEQUERED,Track,1,0,1,0
2025-spanish-grand-prix-r,2025,Spanish Grand Prix,Flag,BLUE,Driver,45,0,45,45
2025-spanish-grand-prix-r,2025,Spanish Grand Prix,Other,missing,missing,42,3,42,0
2025-spanish-grand-prix-r,2025,Spanish Grand Prix,Drs,missing,missing,3,1,3,0
2025-spanish-grand-prix-r,2025,Spanish Grand Prix,SafetyCar,missing,missing,2,0,2,0
2025-spanish-grand-prix-r,2025,Spanish Grand Prix,Flag,GREEN,Track,2,1,2,0
2025-spanish-grand-prix-r,2025,Spanish Grand Prix,Flag,DOUBLE YELLOW,Sector,2,0,2,0
2025-spanish-grand-prix-r,2025,Spanish Grand Prix,Flag,YELLOW,Sector,1,0,1,0
2025-spanish-grand-prix-r,2025,Spanish Grand Prix,Flag,CLEAR,Sector,1,0,1,0
2025-spanish-grand-prix-r,2025,Spanish Grand Prix,Flag,CHEQUERED,Track,1,0,1,0
2025-spanish-grand-prix-r,2025,Spanish Grand Prix,Flag,CLEAR,Track,1,0,1,0
2025-s-o-paulo-grand-prix-r,2025,São Paulo Grand Prix,Other,missing,missing,29,5,29,0
2025-s-o-paulo-grand-prix-r,2025,São Paulo Grand Prix,Flag,CLEAR,Sector,6,2,6,0
2025-s-o-paulo-grand-prix-r,2025,São Paulo Grand Prix,Flag,DOUBLE YELLOW,Sector,5,2,5,0
2025-s-o-paulo-grand-prix-r,2025,São Paulo Grand Prix,SafetyCar,missing,missing,4,0,4,0
2025-s-o-paulo-grand-prix-r,2025,São Paulo Grand Prix,Drs,missing,missing,3,1,3,0
2025-s-o-paulo-grand-prix-r,2025,São Paulo Grand Prix,Flag,CLEAR,Track,2,0,2,0
2025-s-o-paulo-grand-prix-r,2025,São Paulo Grand Prix,Flag,GREEN,Track,2,1,2,0
2025-s-o-paulo-grand-prix-r,2025,São Paulo Grand Prix,Flag,BLUE,Driver,2,0,2,2
2025-s-o-paulo-grand-prix-r,2025,São Paulo Grand Prix,Flag,YELLOW,Sector,2,0,2,0
2025-s-o-paulo-grand-prix-r,2025,São Paulo Grand Prix,Flag,CHEQUERED,Track,1,0,1,0
2025-united-states-grand-prix-r,2025,United States Grand Prix,Other,missing,missing,44,2,44,0
2025-united-states-grand-prix-r,2025,United States Grand Prix,Flag,CLEAR,Sector,7,0,7,0
2025-united-states-grand-prix-r,2025,United States Grand Prix,Flag,BLACK AND WHITE,Driver,6,0,6,6
2025-united-states-grand-prix-r,2025,United States Grand Prix,Flag,DOUBLE YELLOW,Sector,5,0,5,0
2025-united-states-grand-prix-r,2025,United States Grand Prix,Flag,BLUE,Driver,5,0,5,5
