session_id,event_round,event_name,driver_code,lap_number,bad_flag_flip_count,replay_safety_flip_count,lap_comparison_safety_flip_count,recommendation_flip_count,primary_category_flip_count,baseline_bad_lap_any_category,baseline_safe_for_replay,baseline_safe_for_lap_comparison,baseline_product_recommendation,baseline_primary_category,any_sensitivity_flip_count
2025-monaco-grand-prix-r,8,Monaco Grand Prix,BEA,8,1,0,1,1,1,False,True,True,keep,clean,4
2025-monaco-grand-prix-r,8,Monaco Grand Prix,COL,9,1,0,1,1,1,False,True,True,keep,clean,4
2025-monaco-grand-prix-r,8,Monaco Grand Prix,HAM,10,1,0,1,1,1,False,True,True,keep,clean,4
2025-monaco-grand-prix-r,8,Monaco Grand Prix,HUL,9,1,0,1,1,1,True,True,False,manual_review,atypical_speed_profile,4
2025-monaco-grand-prix-r,8,Monaco Grand Prix,HUL,62,1,0,1,1,1,False,True,True,keep,clean,4
2025-monaco-grand-prix-r,8,Monaco Grand Prix,LEC,9,1,0,1,1,1,True,True,False,manual_review,atypical_speed_profile,4
2025-monaco-grand-prix-r,8,Monaco Grand Prix,LEC,10,1,0,1,1,1,True,True,False,manual_review,atypical_speed_profile,4
2025-monaco-grand-prix-r,8,Monaco Grand Prix,LEC,11,1,0,1,1,1,False,True,True,keep,clean,4
2025-monaco-grand-prix-r,8,Monaco Grand Prix,NOR,10,1,0,1,1,1,False,True,True,keep,clean,4
2025-monaco-grand-prix-r,8,Monaco Grand Prix,NOR,11,1,0,1,1,1,True,True,False,manual_review,atypical_speed_profile,4
2025-monaco-grand-prix-r,8,Monaco Grand Prix,OCO,10,1,0,1,1,1,False,True,True,keep,clean,4
2025-monaco-grand-prix-r,8,Monaco Grand Prix,PIA,9,1,0,1,1,1,True,True,False,manual_review,atypical_speed_profile,4
2025-monaco-grand-prix-r,8,Monaco Grand Prix,RUS,9,1,0,1,1,1,True,True,False,manual_review,atypical_speed_profile,4
2025-monaco-grand-prix-r,8,Monaco Grand Prix,SAI,9,1,0,1,1,1,True,True,False,manual_review,atypical_speed_profile,4
2025-monaco-grand-prix-r,8,Monaco Grand Prix,VER,9,1,0,1,1,1,True,True,False,manual_review,atypical_speed_profile,4
2025-canadian-grand-prix-r,10,Canadian Grand Prix,COL,59,1,0,1,1,1,True,True,False,manual_review,atypical_speed_profile,4
2025-austrian-grand-prix-r,11,Austrian Grand Prix,STR,13,1,0,1,1,1,False,True,True,keep,clean,4
2025-austrian-grand-prix-r,11,Austrian Grand Prix,TSU,67,1,0,1,1,1,True,True,False,manual_review,atypical_speed_profile,4
2025-italian-grand-prix-r,16,Italian Grand Prix,PIA,49,1,0,1,1,1,False,True,True,keep,clean,4
2025-azerbaijan-grand-prix-r,17,Azerbaijan Grand Prix,ALB,5,1,0,1,1,1,True,True,False,manual_review,atypical_speed_profile,4
2025-azerbaijan-grand-prix-r,17,Azerbaijan Grand Prix,ALO,5,1,0,1,1,1,True,True,False,manual_review,atypical_speed_profile,4
2025-azerbaijan-grand-prix-r,17,Azerbaijan Grand Prix,BEA,5,1,0,1,1,1,True,True,False,manual_review,atypical_speed_profile,4
2025-azerbaijan-grand-prix-r,17,Azerbaijan Grand Prix,BOR,5,1,0,1,1,1,False,True,True,keep,clean,4
2025-azerbaijan-grand-prix-r,17,Azerbaijan Grand Prix,COL,5,1,0,1,1,1,False,True,True,keep,clean,4
2025-azerbaijan-grand-prix-r,17,Azerbaijan Grand Prix,GAS,5,1,0,1,1,1,True,True,False,manual_review,atypical_speed_profile,4
2025-azerbaijan-grand-prix-r,17,Azerbaijan Grand Prix,HAD,5,1,0,1,1,1,False,True,True,keep,clean,4
2025-azerbaijan-grand-prix-r,17,Azerbaijan Grand Prix,HAM,5,1,0,1,1,1,True,True,False,manual_review,atypical_speed_profile,4
2025-azerbaijan-grand-prix-r,17,Azerbaijan Grand Prix,HUL,5,1,0,1,1,1,False,True,True,keep,clean,4
2025-azerbaijan-grand-prix-r,17,Azerbaijan Grand Prix,NOR,5,1,0,1,1,1,False,True,True,keep,clean,4
2025-azerbaijan-grand-prix-r,17,Azerbaijan Grand Prix,OCO,5,1,0,1,1,1,True,True,False,manual_review,atypical_speed_profile,4
