session_id,year,event_name,driver_code,aligned_rows,non_ok_rows,car_gap_rows,car_sample_old_rows,location_gap_rows,location_sample_old_rows,other_unknown_rows,car_related_rows,location_related_rows,non_ok_pct,longest_segment_ms,segments_over_2s,degraded_windows,severe_windows,windows_with_incident_context,max_window_non_ok_pct,desktop_replay_risk_score,desktop_guidance
2025-saudi-arabian-grand-prix-r,2025,Saudi Arabian Grand Prix,HAD,49335,814,512,97,170,35,0,609,584,1.649944258639911,1500,0,70,2,32,11.11111111111111,16.488665923448533,diagnostics_only
2025-hungarian-grand-prix-r,2025,Hungarian Grand Prix,RUS,57431,1392,623,137,529,103,0,760,634,2.4237780989361144,1400,0,113,0,43,8.333333333333332,16.361779062411124,diagnostics_only
2025-hungarian-grand-prix-r,2025,Hungarian Grand Prix,HUL,57525,1392,623,137,529,103,0,760,634,2.4198174706649285,1400,0,113,0,43,8.333333333333332,16.34593654932638,diagnostics_only
2025-hungarian-grand-prix-r,2025,Hungarian Grand Prix,SAI,57544,1392,623,137,529,103,0,760,634,2.4190184901988045,1400,0,113,0,43,8.333333333333332,16.342740627461886,diagnostics_only
2025-hungarian-grand-prix-r,2025,Hungarian Grand Prix,LEC,57587,1393,623,138,529,103,0,761,634,2.4189487210655183,1400,0,113,0,43,8.333333333333332,16.34246155092874,diagnostics_only
2025-hungarian-grand-prix-r,2025,Hungarian Grand Prix,ALB,57593,1393,623,138,529,103,0,761,634,2.4186967166148663,1400,0,113,0,43,8.333333333333332,16.34145353312613,diagnostics_only
2025-hungarian-grand-prix-r,2025,Hungarian Grand Prix,OCO,57664,1393,623,138,529,103,0,761,634,2.415718645948946,1400,0,113,0,43,8.333333333333332,16.329541250462448,diagnostics_only
2025-hungarian-grand-prix-r,2025,Hungarian Grand Prix,GAS,57675,1393,623,138,529,103,0,761,634,2.4152579107065453,1400,0,113,0,43,8.333333333333332,16.327698309492845,diagnostics_only
2025-hungarian-grand-prix-r,2025,Hungarian Grand Prix,ALO,57803,1396,623,141,529,103,0,764,634,2.4150995623064544,1400,0,114,0,43,8.333333333333332,16.327064915892485,diagnostics_only
2025-hungarian-grand-prix-r,2025,Hungarian Grand Prix,TSU,57681,1393,623,138,529,103,0,761,634,2.415006674641563,1400,0,113,0,43,8.333333333333332,16.32669336523292,diagnostics_only
2025-hungarian-grand-prix-r,2025,Hungarian Grand Prix,COL,57687,1393,623,138,529,103,0,761,634,2.4147554908384903,1400,0,113,0,43,8.333333333333332,16.32568863002063,diagnostics_only
2025-hungarian-grand-prix-r,2025,Hungarian Grand Prix,BOR,57875,1396,623,141,529,103,0,764,634,2.412095032397408,1400,0,114,0,43,8.333333333333332,16.315046796256297,diagnostics_only
2025-hungarian-grand-prix-r,2025,Hungarian Grand Prix,STR,57894,1396,623,141,529,103,0,764,634,2.411303416588938,1400,0,114,0,43,8.333333333333332,16.31188033302242,diagnostics_only
2025-hungarian-grand-prix-r,2025,Hungarian Grand Prix,LAW,57905,1396,623,141,529,103,0,764,634,2.4108453501424747,1400,0,114,0,43,8.333333333333332,16.310048067236565,diagnostics_only
2025-hungarian-grand-prix-r,2025,Hungarian Grand Prix,VER,57934,1396,623,141,529,103,0,764,634,2.4096385542168677,1400,0,114,0,43,8.333333333333332,16.305220883534137,diagnostics_only
