session_id,year,event_name,driver_code,driver_number,stream_name,sample_count,min_delta_ms,median_delta_ms,p90_delta_ms,p99_delta_ms,max_delta_ms,estimated_frequency_hz,duplicate_count,out_of_order_count,warning_flags
2025-japanese-grand-prix-r,2025,Japanese Grand Prix,ALB,23,raw_location_telemetry,18958,20.0,240.0,380.0,519.0,1419.0,4.166666666666667,0,0,SOURCE_GAP_TOO_LARGE
2025-japanese-grand-prix-r,2025,Japanese Grand Prix,ALO,14,raw_car_telemetry,18606,159.0,240.0,400.0,481.0,1479.0,4.166666666666667,0,0,SOURCE_GAP_TOO_LARGE
2025-japanese-grand-prix-r,2025,Japanese Grand Prix,ALO,14,raw_location_telemetry,19024,20.0,240.0,380.0,519.0,1419.0,4.166666666666667,0,0,SOURCE_GAP_TOO_LARGE
2025-japanese-grand-prix-r,2025,Japanese Grand Prix,ANT,12,raw_car_telemetry,18471,159.0,240.0,400.0,481.0,1479.0,4.166666666666667,0,0,SOURCE_GAP_TOO_LARGE
2025-japanese-grand-prix-r,2025,Japanese Grand Prix,ANT,12,raw_location_telemetry,18880,20.0,240.0,380.0,504.96000000002095,1419.0,4.166666666666667,0,0,SOURCE_GAP_TOO_LARGE
2025-japanese-grand-prix-r,2025,Japanese Grand Prix,BEA,87,raw_car_telemetry,18597,159.0,240.0,400.0,481.0,1479.0,4.166666666666667,0,0,SOURCE_GAP_TOO_LARGE
2025-japanese-grand-prix-r,2025,Japanese Grand Prix,BEA,87,raw_location_telemetry,19012,20.0,240.0,380.0,517.2000000000262,1419.0,4.166666666666667,0,0,SOURCE_GAP_TOO_LARGE
2025-japanese-grand-prix-r,2025,Japanese Grand Prix,BOR,5,raw_car_telemetry,18710,159.0,240.0,400.0,481.0,1479.0,4.166666666666667,0,0,SOURCE_GAP_TOO_LARGE
2025-japanese-grand-prix-r,2025,Japanese Grand Prix,BOR,5,raw_location_telemetry,19122,20.0,240.0,380.0,519.0,1419.0,4.166666666666667,0,0,SOURCE_GAP_TOO_LARGE
2025-japanese-grand-prix-r,2025,Japanese Grand Prix,DOO,7,raw_car_telemetry,18700,159.0,240.0,400.0,481.0,1479.0,4.166666666666667,0,0,SOURCE_GAP_TOO_LARGE
2025-japanese-grand-prix-r,2025,Japanese Grand Prix,DOO,7,raw_location_telemetry,19113,20.0,240.0,380.0,519.0,1419.0,4.166666666666667,0,0,SOURCE_GAP_TOO_LARGE
2025-japanese-grand-prix-r,2025,Japanese Grand Prix,GAS,10,raw_car_telemetry,18626,159.0,240.0,400.0,481.0,1479.0,4.166666666666667,0,0,SOURCE_GAP_TOO_LARGE
2025-japanese-grand-prix-r,2025,Japanese Grand Prix,GAS,10,raw_location_telemetry,19042,20.0,240.0,380.0,519.0,1419.0,4.166666666666667,0,0,SOURCE_GAP_TOO_LARGE
2025-japanese-grand-prix-r,2025,Japanese Grand Prix,HAD,6,raw_car_telemetry,18537,159.0,240.0,400.0,481.0,1479.0,4.166666666666667,0,0,SOURCE_GAP_TOO_LARGE
2025-japanese-grand-prix-r,2025,Japanese Grand Prix,HAD,6,raw_location_telemetry,18945,20.0,240.0,380.0,519.0,1419.0,4.166666666666667,0,0,SOURCE_GAP_TOO_LARGE
2025-japanese-grand-prix-r,2025,Japanese Grand Prix,HAM,44,raw_car_telemetry,18507,159.0,240.0,400.0,481.0,1479.0,4.166666666666667,0,0,SOURCE_GAP_TOO_LARGE
2025-japanese-grand-prix-r,2025,Japanese Grand Prix,HAM,44,raw_location_telemetry,18915,20.0,240.0,380.0,519.0,1419.0,4.166666666666667,0,0,SOURCE_GAP_TOO_LARGE
2025-japanese-grand-prix-r,2025,Japanese Grand Prix,HUL,27,raw_car_telemetry,18702,159.0,240.0,400.0,481.0,1479.0,4.166666666666667,0,0,SOURCE_GAP_TOO_LARGE
2025-japanese-grand-prix-r,2025,Japanese Grand Prix,HUL,27,raw_location_telemetry,19115,20.0,240.0,380.0,519.0,1419.0,4.166666666666667,0,0,SOURCE_GAP_TOO_LARGE
2025-japanese-grand-prix-r,2025,Japanese Grand Prix,LAW,30,raw_car_telemetry,18705,159.0,240.0,400.0,481.0,1479.0,4.166666666666667,0,0,SOURCE_GAP_TOO_LARGE
2025-japanese-grand-prix-r,2025,Japanese Grand Prix,LAW,30,raw_location_telemetry,19118,20.0,240.0,380.0,519.0,1419.0,4.166666666666667,0,0,SOURCE_GAP_TOO_LARGE
2025-japanese-grand-prix-r,2025,Japanese Grand Prix,LEC,16,raw_car_telemetry,18461,159.0,240.0,400.0,481.0,1479.0,4.166666666666667,0,0,SOURCE_GAP_TOO_LARGE
2025-japanese-grand-prix-r,2025,Japanese Grand Prix,LEC,16,raw_location_telemetry,18869,20.0,240.0,380.0,506.93999999996595,1419.0,4.166666666666667,0,0,SOURCE_GAP_TOO_LARGE
2025-japanese-grand-prix-r,2025,Japanese Grand Prix,NOR,4,raw_car_telemetry,18407,159.0,240.0,400.0,481.0,1479.0,4.166666666666667,0,0,SOURCE_GAP_TOO_LARGE
2025-japanese-grand-prix-r,2025,Japanese Grand Prix,NOR,4,raw_location_telemetry,18817,20.0,240.0,380.0,501.0,1419.0,4.166666666666667,0,0,SOURCE_GAP_TOO_LARGE
2025-japanese-grand-prix-r,2025,Japanese Grand Prix,OCO,31,raw_car_telemetry,18708,159.0,240.0,400.0,481.0,1479.0,4.166666666666667,0,0,SOURCE_GAP_TOO_LARGE
