session_id,year,event_name,surface,surface_key,start_ms,end_ms,span_ms,derived_session_duration_ms,active_replay_start_ms,active_replay_end_ms,active_replay_duration_ms,coverage_ratio,active_coverage_ratio,starts_after_active_ms,ends_before_active_end_ms
2025-mexico-city-grand-prix-r,2025,Mexico City Grand Prix,session status,session_status,9754,9707743,9697989,9707743,3427825,9384725,5956900,0.9989952350407298,1.0,-3418071,-323018
2025-mexico-city-grand-prix-r,2025,Mexico City Grand Prix,race control,race_control,196000,6398000,6202000,9707743,3427825,9384725,5956900,0.6388714657979718,0.49861085463915794,-3231825,2986725
2025-s-o-paulo-grand-prix-r,2025,São Paulo Grand Prix,raw telemetry,telemetry,3414725,9005345,5590620,9158888,3414801,9005301,5590500,0.6104037957446362,1.0,-76,-44
2025-s-o-paulo-grand-prix-r,2025,São Paulo Grand Prix,raw position,position,194142,5785023,5590881,9158888,3414801,9005301,5590500,0.610432292653868,0.4239731687684465,-3220659,3220278
2025-s-o-paulo-grand-prix-r,2025,São Paulo Grand Prix,aligned replay,aligned,3414801,9005301,5590500,9158888,3414801,9005301,5590500,0.6103906937174033,1.0,0,0
2025-s-o-paulo-grand-prix-r,2025,São Paulo Grand Prix,weather,weather,61035,9121811,9060776,9158888,3414801,9005301,5590500,0.9892877825342989,1.0,-3353766,-116510
2025-s-o-paulo-grand-prix-r,2025,São Paulo Grand Prix,track status,track_status,0,4219151,4219151,9158888,3414801,9005301,5590500,0.4606619275178384,0.14387800733386996,-3414801,4786150
2025-s-o-paulo-grand-prix-r,2025,São Paulo Grand Prix,session status,session_status,7034,9158888,9151854,9158888,3414801,9005301,5590500,0.9992320028370256,1.0,-3407767,-153587
2025-s-o-paulo-grand-prix-r,2025,São Paulo Grand Prix,race control,race_control,194000,5908000,5714000,9158888,3414801,9005301,5590500,0.6238748634113661,0.44597066452016815,-3220801,3097301
2025-las-vegas-grand-prix-r,2025,Las Vegas Grand Prix,raw telemetry,telemetry,3461979,8421836,4959857,8571060,3462049,8421749,4959700,0.5786748663525865,1.0,-70,-87
